comuna_origen,hora,cantidad_viajes
1,0,2250
1,1,1202
1,2,508
1,3,343
1,4,920
1,5,4263
1,6,9223
1,7,14373
1,8,13057
1,9,11207
1,10,11399
1,11,14811
1,12,18983
1,13,20471
1,14,22139
1,15,26407
1,16,31561
1,17,37611
1,18,32455
1,19,19129
1,20,15866
1,21,12546
1,22,7430
1,23,4551
2,0,951
2,1,469
2,2,141
2,3,82
2,4,177
2,5,667
2,6,2162
2,7,6327
2,8,6683
2,9,5490
2,10,5613
2,11,6533
2,12,8426
2,13,8180
2,14,8970
2,15,9687
2,16,10792
2,17,11398
2,18,10253
2,19,8146
2,20,7096
2,21,5095
2,22,2961
2,23,1427
3,0,807
3,1,307
3,2,151
3,3,77
3,4,400
3,5,1673
3,6,4070
3,7,8406
3,8,8660
3,9,7019
3,10,7371
3,11,8626
3,12,11775
3,13,11481
3,14,11405
3,15,12025
3,16,14203
3,17,15559
3,18,14314
3,19,9349
3,20,6912
3,21,5790
3,22,3228
3,23,1436
4,0,2713
4,1,900
4,2,597
4,3,3279
4,4,20465
4,5,49594
4,6,94240
4,7,135709
4,8,104086
4,9,85752
4,10,80417
4,11,98770
4,12,126108
4,13,107321
4,14,93400
4,15,97470
4,16,118674
4,17,131066
4,18,102021
4,19,75561
4,20,57887
4,21,37609
4,22,21833
4,23,7484
5,0,505
5,1,270
5,2,117
5,3,64
5,4,247
5,5,936
5,6,2598
5,7,6880
5,8,6584
5,9,4776
5,10,4093
5,11,4227
5,12,5975
5,13,5660
5,14,5428
5,15,5954
5,16,7243
5,17,7222
5,18,6733
5,19,4654
5,20,3991
5,21,3835
5,22,2280
5,23,970
6,0,557
6,1,260
6,2,81
6,3,49
6,4,164
6,5,719
6,6,2535
6,7,5938
6,8,5944
6,9,4429
6,10,3891
6,11,4568
6,12,6380
6,13,6655
6,14,5925
6,15,6445
6,16,7658
6,17,7913
6,18,7072
6,19,5541
6,20,4396
6,21,3022
6,22,1738
6,23,915
7,0,357
7,1,144
7,2,49
7,3,54
7,4,370
7,5,1436
7,6,4292
7,7,9385
7,8,8013
7,9,5653
7,10,4929
7,11,5735
7,12,8254
7,13,7539
7,14,6583
7,15,6962
7,16,9295
7,17,10314
7,18,7644
7,19,5010
7,20,4090
7,21,2757
7,22,1608
7,23,834
8,0,801
8,1,348
8,2,423
8,3,3017
8,4,21991
8,5,53272
8,6,81522
8,7,88435
8,8,64033
8,9,50027
8,10,46494
8,11,54893
8,12,63986
8,13,52540
8,14,45624
8,15,45853
8,16,58399
8,17,65416
8,18,51602
8,19,39009
8,20,28442
8,21,18691
8,22,10415
8,23,2854
9,0,1143
9,1,406
9,2,201
9,3,503
9,4,3698
9,5,11781
9,6,22884
9,7,31902
9,8,25337
9,9,20024
9,10,20545
9,11,25548
9,12,31141
9,13,28735
9,14,26649
9,15,28032
9,16,35079
9,17,40917
9,18,34072
9,19,24240
9,20,19086
9,21,13460
9,22,8888
9,23,3013
10,0,396
10,1,159
10,2,58
10,3,300
10,4,2240
10,5,6257
10,6,12444
10,7,18496
10,8,14593
10,9,10962
10,10,9393
10,11,10834
10,12,14042
10,13,11818
10,14,10664
10,15,11419
10,16,16380
10,17,17623
10,18,13180
10,19,8329
10,20,5954
10,21,4117
10,22,2577
10,23,991
11,0,613
11,1,258
11,2,103
11,3,489
11,4,3675
11,5,10260
11,6,18755
11,7,26078
11,8,20886
11,9,15682
11,10,13302
11,11,15039
11,12,20190
11,13,18307
11,14,15239
11,15,17005
11,16,22000
11,17,25125
11,18,19072
11,19,12417
11,20,9459
11,21,6478
11,22,3815
11,23,1493
12,0,2631
12,1,1158
12,2,601
12,3,2243
12,4,17867
12,5,44081
12,6,81323
12,7,105075
12,8,80226
12,9,62265
12,10,55703
12,11,65484
12,12,86580
12,13,76520
12,14,71872
12,15,77428
12,16,99069
12,17,110132
12,18,85155
12,19,60931
12,20,46077
12,21,30761
12,22,20052
12,23,7321
13,0,1149
13,1,644
13,2,209
13,3,111
13,4,288
13,5,972
13,6,3369
13,7,7596
13,8,7902
13,9,6263
13,10,5449
13,11,6732
13,12,10295
13,13,10014
13,14,9951
13,15,11205
13,16,13967
13,17,15286
13,18,13662
13,19,9441
13,20,8131
13,21,5904
13,22,4366
13,23,2125
14,0,1834
14,1,1303
14,2,370
14,3,233
14,4,402
14,5,1260
14,6,3904
14,7,9808
14,8,10566
14,9,7967
14,10,7028
14,11,7530
14,12,10533
14,13,11506
14,14,12096
14,15,12913
14,16,15440
14,17,16742
14,18,14540
14,19,11069
14,20,8895
14,21,6209
14,22,4386
14,23,2922
15,0,787
15,1,373
15,2,168
15,3,114
15,4,288
15,5,1069
15,6,3486
15,7,8641
15,8,8778
15,9,6415
15,10,5066
15,11,5535
15,12,7917
15,13,7706
15,14,7761
15,15,8858
15,16,11126
15,17,12474
15,18,10731
15,19,6510
15,20,5107
15,21,3756
15,22,2331
15,23,1333
