latitud,longitud,comuna
"-34,6256588","-58,3709946",1
"-34,6257106","-58,3709994",1
"-34,6072156","-58,3796587",1
"-34,6302258","-58,3706639",4
"-34,6334097","-58,3703604",4
"-34,6340118","-58,3702771",4
"-34,6342993","-58,3702328",4
"-34,60775698","-58,38715257",1
"-34,6361996","-58,3699335",4
"-34,60774163","-58,38690677",1
"-34,6367229","-58,3698545",4
"-34,6369873","-58,3698136",4
"-34,637171","-58,3697851",4
"-34,60790029","-58,3894206",1
"-34,60794204","-58,39033209",1
"-34,6089946","-58,3887206",1
"-34,6257245","-58,3726637",1
"-34,6090372","-58,3895865",1
"-34,6090641","-58,3898883",1
"-34,6090775","-58,3900789",1
"-34,6265167","-58,3726104",1
"-34,6091327","-58,3909525",1
"-34,6091742","-58,3915424",1
"-34,6407253","-58,3692334",4
"-34,6408335","-58,3692168",4
"-34,6409333","-58,3692015",4
"-34,6075947","-58,3919606",1
"-34,6073075","-58,3919813",1
"-34,6426194","-58,3689501",4
"-34,6432637","-58,3688552",4
"-34,6053942","-58,3921162",1
"-34,6435163","-58,3688177",4
"-34,6436638","-58,3687967",4
"-34,6051805","-58,3921326",1
"-34,6049376","-58,3921513",1
"-34,6046837","-58,3921708",1
"-34,6040758","-58,3922218",1
"-34,6443683","-58,3686912",4
"-34,6036411","-58,392256",1
"-34,6460503","-58,368446",4
"-34,6467662","-58,3683417",4
"-34,6470634","-58,3682974",4
"-34,6471116","-58,3682902",4
"-34,6005557","-58,3927025",1
"-34,6003471","-58,392732",1
"-34,6002225","-58,3927496",1
"-34,6000115","-58,3927794",1
"-34,6476058","-58,3680575",4
"-34,5995123","-58,3921475",2
"-34,6444316","-58,3685247",4
"-34,6440705","-58,3685811",4
"-34,6440004","-58,3685911",4
"-34,5993257","-58,3891283",2
"-34,5992928","-58,3885385",2
"-34,6407619","-58,3690724",4
"-34,640742","-58,369078",4
"-34,6404457","-58,369121",4
"-34,6402749","-58,3691473",4
"-34,599232","-58,387335",2
"-34,6373154","-58,3695499",4
"-34,6367324","-58,369694",4
"-34,6363464","-58,3697558",4
"-34,6361463","-58,3697868",4
"-34,6357791","-58,3698437",4
"-34,6332533","-58,3702192",4
"-34,6331008","-58,3702377",4
"-34,6329536","-58,3702563",4
"-34,6329363","-58,3702581",4
"-34,6303429","-58,3705018",4
"-34,6300972","-58,3705232",4
"-34,629949","-58,3705361",4
"-34,630814","-58,3841698",1
"-34,6297431","-58,3842547",1
"-34,6280066","-58,3843888",1
"-34,626803","-58,3844005",1
"-34,6219832","-58,3844242",1
"-34,6218892","-58,3844203",1
"-34,5991089","-58,3847317",1
"-34,5991038","-58,3846233",1
"-34,5990626","-58,3837359",1
"-34,6176061","-58,3843688",1
"-34,5990385","-58,3832169",1
"-34,5391323","-58,4760074",12
"-34,5389417","-58,4760952",12
"-34,5989289","-58,3807914",1
"-34,5390321","-58,4758293",12
"-34,5989198","-58,380554",1
"-34,6130914","-58,3847184",1
"-34,5989137","-58,3803951",1
"-34,5988988","-58,3800055",1
"-34,6126928","-58,3847569",1
"-34,5397638","-58,4753583",12
"-34,5988796","-58,3795494",1
"-34,5988444","-58,3787266",1
"-34,6108276","-58,3848583",1
"-34,5987619","-58,377383",1
"-34,5986727","-58,3761272",1
"-34,5986551","-58,3758765",1
"-34,5396533","-58,4752184",12
"-34,5986154","-58,3749277",1
"-34,5394398","-58,4753779",12
"-34,5986253","-58,3750693",1
"-34,5389588","-58,4756879",13
"-34,5985002","-58,3736505",1
"-34,5387075","-58,47584",13
"-34,5984901","-58,3735169",1
"-34,5984753","-58,3733707",1
"-34,5984547","-58,3730987",1
"-34,6123174","-58,3832571",1
"-34,5410238","-58,474261",12
"-34,5417732","-58,4736736",12
"-34,6148069","-58,3830397",1
"-34,6170904","-58,3829976",1
"-34,6189322","-58,382929",1
"-34,5441514","-58,4719393",12
"-34,5999174","-58,3755665",1
"-34,5997515","-58,3730289",1
"-34,6001768","-58,3798005",1
"-34,6001799","-58,37993",1
"-34,6211559","-58,382925",1
"-34,545462","-58,4707748",13
"-34,6240683","-58,3828959",1
"-34,6242048","-58,3828906",1
"-34,6245289","-58,3828782",1
"-34,5478402","-58,4692464",12
"-34,6273959","-58,3827831",1
"-34,5487015","-58,4681995",13
"-34,6281632","-58,3827393",1
"-34,6283115","-58,3827394",1
"-34,6285146","-58,3827066",1
"-34,6288294","-58,3826971",1
"-34,5504579","-58,4671615",13
"-34,55073","-58,46694",13
"-34,631053","-58,382602",1
"-34,55115","-58,4666036",13
"-34,55153","-58,4663039",13
"-34,55387","-58,4643811",13
"-34,55429","-58,463957",13
"-34,6012592","-58,3807415",1
"-34,55493","-58,4633255",13
"-34,6012699","-58,38003",1
"-34,55527","-58,4629759",13
"-34,55467","-58,4631187",13
"-34,6032384","-58,372574",1
"-34,6032465","-58,3727072",1
"-34,6033592","-58,3745841",1
"-34,60341","-58,3754239",1
"-34,6034343","-58,3758205",1
"-34,6034476","-58,3760364",1
"-34,6036074","-58,3785963",1
"-34,6036812","-58,3798148",1
"-34,6036865","-58,3799014",1
"-34,6036891","-58,3799915",1
"-34,6038606","-58,3828745",1
"-34,6038921","-58,3834113",1
"-34,603928","-58,3840166",1
"-34,6039471","-58,3843422",1
"-34,6039983","-58,3852351",1
"-34,6041156","-58,3870651",1
"-34,6041251","-58,387185",1
"-34,6042041","-58,3881532",1
"-34,6055836","-58,3918803",1
"-34,6053068","-58,3875462",1
"-34,6050565","-58,3833973",1
"-34,6050419","-58,3831425",1
"-34,6294125","-58,4082355",3
"-34,6385868","-58,4034523",4
"-34,6387048","-58,4034258",4
"-34,6414185","-58,4028156",4
"-34,6414506","-58,4028084",4
"-34,642973","-58,402464",4
"-34,6446836","-58,4020799",4
"-34,6465677","-58,4037148",4
"-34,6438407","-58,4056843",4
"-34,647412","-58,4095317",4
"-34,6337489","-58,3902963",1
"-34,538984","-58,4744859",13
"-34,6466161","-58,4123622",4
"-34,6335941","-58,3903148",1
"-34,6318022","-58,3905261",1
"-34,6458587","-58,4096076",4
"-34,5373465","-58,4707895",13
"-34,6460581","-58,4090316",4
"-34,6297733","-58,3907695",1
"-34,6456161","-58,406832",4
"-34,6436322","-58,4072249",4
"-34,6279489","-58,390985",1
"-34,6276485","-58,3910194",1
"-34,53648","-58,46633",13
"-34,6421978","-58,4057742",4
"-34,6254697","-58,3912089",1
"-34,6253891","-58,3912152",1
"-34,6432478","-58,4094981",4
"-34,624433","-58,3912973",1
"-34,53704","-58,46627",13
"-34,6236757","-58,391347",1
"-34,623396","-58,391358",1
"-34,53882","-58,46486",13
"-34,6230722","-58,3913725",1
"-34,6425557","-58,4093229",4
"-34,622178","-58,3914222",1
"-34,6405686","-58,4089934",4
"-34,6208766","-58,3914946",1
"-34,620601","-58,391511",1
"-34,539504","-58,464646",13
"-34,6203191","-58,391522",1
"-34,6197686","-58,3915441",1
"-34,6195442","-58,3915528",1
"-34,6193132","-58,3915618",1
"-34,6378222","-58,4101205",4
"-34,5425","-58,46209",13
"-34,618715","-58,3915829",1
"-34,6379236","-58,4106983",4
"-34,6184586","-58,3915912",1
"-34,6379722","-58,4109962",4
"-34,6380611","-58,4107331",4
"-34,6177376","-58,391593",1
"-34,6381174","-58,4109088",4
"-34,6174133","-58,3915875",1
"-34,6165513","-58,3915717",1
"-34,6163127","-58,3915676",1
"-34,6385827","-58,4113287",4
"-34,638582","-58,4113904",4
"-34,6160745","-58,3915636",1
"-34,6155585","-58,3915621",1
"-34,6153189","-58,3915673",1
"-34,54469","-58,46009",13
"-34,63960662","-58,41121265",4
"-34,6150415","-58,3915751",1
"-34,6402155","-58,4103511",4
"-34,6146009","-58,3915907",1
"-34,54517","-58,45907",13
"-34,6401851","-58,4102588",4
"-34,6140353","-58,3916065",1
"-34,6131777","-58,3916394",1
"-34,6129634","-58,3916477",1
"-34,6122977","-58,391673",1
"-34,6118674","-58,3916835",1
"-34,6429123","-58,4130914",4
"-34,6430405","-58,4131482",4
"-34,610148","-58,3917929",1
"-34,6428644","-58,4130718",4
"-34,610054","-58,3917998",1
"-34,64287","-58,4130742",4
"-34,609958","-58,3917675",1
"-34,6099645","-58,3914999",1
"-34,6110911","-58,3904281",1
"-34,6426061","-58,4127792",4
"-34,54779","-58,45621",13
"-34,6312495","-58,3724949",4
"-34,6299848","-58,3710254",4
"-34,6299718","-58,3710124",4
"-34,6299064","-58,3709469",4
"-34,6266228","-58,3720815",1
"-34,6266417","-58,37241",1
"-34,6269339","-58,3750302",1
"-34,6271589","-58,3754837",1
"-34,6282338","-58,3774706",1
"-34,6283552","-58,377693",1
"-34,6280339","-58,3767393",4
"-34,6277737","-58,3762632",4
"-34,6275649","-58,3758805",4
"-34,6268362","-58,3729419",4
"-34,6268355","-58,3728442",4
"-34,6287608","-58,3722439",4
"-34,6290173","-58,372175",4
