comuna_origen,hora,demanda_real,demanda_predicha
10,8,14593,16093
2,18,10253,12178
12,21,30761,14625
13,14,9951,10562
3,8,8660,6915
12,8,80226,88566
1,15,26407,23979
3,9,7019,7208
11,8,20886,21915
6,4,164,3044
4,10,80417,90020
15,18,10731,12628
9,18,34072,30785
15,3,114,237
5,23,970,3057
6,6,2535,3739
9,11,25548,23078
13,12,10295,7695
6,19,5541,5670
15,20,5107,7850
6,20,4396,6298
10,6,12444,14835
14,12,10533,8121
2,9,5490,6346
13,9,6263,7107
10,4,2240,5252
7,3,54,441
14,13,11506,9549
2,1,469,528
4,1,900,753
12,3,2243,472
1,9,11207,12909
15,11,5535,6568
7,4,370,9058
5,17,7222,9145
2,15,9687,9980
1,22,7430,6641
15,15,8858,10823
4,22,21833,10297
4,18,102021,107571
8,12,63986,53291
2,6,2162,5884
13,17,15286,15897
5,12,5975,5416
7,13,7539,7417
10,16,16380,14305
3,7,8406,7345
1,5,4263,4552
2,21,5095,8666
15,6,3486,4008
12,22,20052,13068
10,21,4117,9177
9,17,40917,32760
4,6,94240,101317
14,21,6209,6152
12,19,60931,60799
1,3,343,497
5,20,3991,12123
4,4,20465,610
12,20,46077,44000
3,15,12025,12520
2,22,2961,4510
9,19,24240,24025
4,5,49594,43338
4,0,2713,843
4,12,126108,98017
15,22,2331,3709
9,7,31902,27039
14,22,4386,4026
4,21,37609,17920
9,6,22884,27004
9,5,11781,25614
